vendor,product,asset_type,Risk
konghq,kong_gateway,Other ICS Device,0.488673864
koyoele,remote_gc,Other ICS Device,0.3199763952
kuka,visual_components_network_license_server,Other ICS Device,0.38102400000000003
landisgyr,e850_firmware,Other ICS Device,0.2715558048000001
laquisscada,scada,Other ICS Device,0.48324396960000005
lcds,laquis_scada,Other ICS Device,0.37285920000000006
level1,wbr 6012_firmware,Other ICS Device,0.38102400000000003
lg,webos,Other ICS Device,0.46552847040000017
libmodbus,libmodbus,Other ICS Device,0.45753120000000014
lightxun,iptv_gateway,Other ICS Device,0.3661592256
linux,linux_kernel,Other ICS Device,0.46340804160000004
linuxfoundation,ceph,Other ICS Device,0.33445440000000004
linuxfoundation,the_update_framework,Other ICS Device,0.4978030176
litestar,litestar,Other ICS Device,0.48685976640000006
ls electric,xbc dn32u_firmware,Other ICS Device,0.4576116384000001
ls electric,xg5000,Other ICS Device,0.3206586096000001
machinesense,feverwarn_firmware,Other ICS Device,0.3480923376000001
mayan edms,mayan_edms,Other ICS Device,0.3370136112
maykinmedia,open_forms,Other ICS Device,0.3807058752000001
mcafee,content_security_reporter,Other ICS Device,0.2358747216
mcafee,data_loss_prevention_discover,Other ICS Device,0.45850885920000006
mcafee,data_loss_prevention_endpoint,Other ICS Device,0.3435073488
mcafee,email_gateway,Other ICS Device,0.29787458400000005
mcafee,web_gateway,Other ICS Device,0.49604577120000015
meetecho,janus,Other ICS Device,0.5589343872000001
mfasoft,secure_authentication_server,Other ICS Device,0.44278587360000005
mi,miui_firmware,Other ICS Device,0.4329569664000001
microfocus,secure_messaging_gateway,Other ICS Device,0.4242672000000001
microsoft,azure_data_box_gateway,Other ICS Device,0.4167486288
microsoft,on prem_data_gateway,Other ICS Device,0.44278617600000003
microsoft,windows_10,Other ICS Device,0.43489837440000007
microsoft,windows_10_1507,Other ICS Device,0.4835862864000001
microsoft,windows_server_2008,Other ICS Device,0.40204926720000006
microsoft,windows_server_2012,Other ICS Device,0.5235439104
microsoft,windows_server_2016,Other ICS Device,0.5273837856
minio,minio,Other ICS Device,0.5034122352000001
mitel,micollab,Other ICS Device,0.44292709440000005
